Date,Auditor,Filename,Passed
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00060.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00069.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00075.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00078.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00084.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00103.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00106.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00133.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00150.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00152.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00157.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00165.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00169.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00174.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00181.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00194.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00197.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00226.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00246.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1877-Oct1888_M_00250.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1888-Jun1894a_M_00280.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1888-Jun1894a_M_00295.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1888-Jun1894a_M_00325.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1888-Jun1894a_M_00334.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1888-Jun1894a_M_00336.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1888-Jun1894a_M_00341.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1888-Jun1894a_M_00358.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1888-Jun1894a_M_00365.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1888-Jun1894a_M_00367.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1888-Jun1894a_M_00369.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1888-Jun1894a_M_00384.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1888-Jun1894a_M_00393.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1888-Jun1894_M_00018.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1888-Jun1894_M_00019.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1888-Jun1894_M_00038.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1888-Jun1894_M_00050.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1888-Jun1894_M_00059.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1888-Jun1894_M_00095.tif,Y
1/11/2011,Heather Ellsworth,SAFR0017D_SAFR0017D-StMarksBaptismRcds-Oct1888-Jun1894_M_00098.tif,Y
