OBJECTID,Id,StrNo,StrName,StrType,Unresolved,Address
208,0,34,PRIMROSE,STREET,,
209,0,36,PRIMROSE,STREET,,
210,0,16,PRIMROSE,LONGMARK,,
211,0,98,CALEDON,PRIMROSE,,
212,0,92,CALEDON,STREET,,
213,0,94,CALEDON,STREET,,
214,0,96,CALEDON,STREET,,
215,0,40,PRIMROSE,STREET,,
216,0,42,PRIMROSE,STREET,,
217,0,44,PRIMROSE,STREET,,
218,0,49,CANTERBURY,STREET,,
219,0,51,CANTERBURY,STREET,,
220,0,55,CANTERBURY,STREET,,
221,0, ,,,YARD,
222,0, ,,,DWELLING,
223,0, ,,,SCHOOL,
224,0, ,,,PENINSULA MATERNITY HOSPITAL,
225,0, ,,,CALEDON HOUSE,
226,0,81,CALEDON,STREET,,
227,0,73,CALEDON,STREET,,
228,0,75,CALEDON,STREET,,
229,0,77,CALEDON,STREET,,
230,0,71,CALEDON,STREET,,
231,0,20,REINBACH,STREET,,
232,0,18,REINBACH,STREET,,
233,0, ,BLOEMHOF,STREET,BLOEMHOF FLATS,
234,0,52,MOUNT,STREET,,
235,0,53,MOUNT,STREET,,
236,0, ,CONSTITUTION,STREET,CCC SUB STATION,
237,0,34,CONSTITUTION,STREET,,
238,0,35,CONSTITUTION,STREET,,
239,0,44,VAN DE LEUR,STREET,,
240,0,42,VAN DE LEUR,STREET,,
241,0,38,VAN DE LEUR,STREET,,
242,0,36,VAN DE LEUR,STREET,,
243,0,76,VAN DE LEUR,STREET,,
244,0,79,VAN DE LEUR,STREET,,
245,0,19,DE KORTE,STREET,,
246,0,39,VAN DE LEUR,STREET,,
247,0,41,VAN DE LEUR,STREET,,
248,0,43,VAN DE LEUR,STREET,,
249,0,45,CONSTITUTION,STREET,,
250,0,46,CONSTITUTION,STREET,,
251,0,47,CONSTITUTION,STREET,,
252,0,38,CONSTITUTION,STREET,,
253,0,24,CONSTITUTION,STREET,,
254,0,43,MCKENZIE,STREET,,
255,0,16,MCKENZIE,STREET,,
256,0,32,MCKENZIE,STREET,,
257,0, ,MCKENZIE,STREET,,
258,0,18,MCKENZIE,STREET,,
259,0, ,DE KORTE,STREET,UNCLEAR,
260,0,16,DE KORTE,STREET,,
261,0,14,DE KORTE,STREET,,
262,0,4,DE KORTE,STREET,,
263,0,44,DE KORTE,STREET,,
264,0,33,DE KORTE,STREET,,
265,0,2,MCKENZIE,STREET,,
266,0,4,MCKENZIE,STREET,,
267,0,15,DE KORTE,STREET,,
268,0,16,DE KORTE,STREET,,
269,0,17,DE KORTE,STREET,,
270,0,18,DE KORTE,STREET,,
271,0,19,DE KORTE,STREET,,
272,0,11,DE KORTE,STREET,,
273,0,2,DE KORTE,STREET,,
274,0,12,WILLIAM,STREET,,
275,0, ,WILLIAM,STREET,,
276,0,40,VAN DE LEUR,STREET,,
277,0,45,VAN DE LEUR,STREET,,
278,0,54,VAN DE LEUR,STREET,,
279,0,62,VAN DE LEUR,STREET,,
280,0,37,VAN DE LEUR,STREET,,
281,0,7,WILLIAM,STREET,,
282,0,24,DE KORTE,STREET,,
283,0,25,DE KORTE,STREET,,
284,0,27,DE KORTE,STREET,,
285,0,29,DE KORTE,STREET,,
286,0,144,MCKENZIE,STREET,,
287,0,34,MCKENZIE,STREET,,
288,0,11,WILLIAM,STREET,,
289,0,3,WILLIAM,STREET,,
290,0,4,WILLIAM,STREET,,
291,0,5,WILLIAM,STREET,,
292,0,8,WILLIAM,STREET,,
293,0,6,WILLIAM,STREET,,
294,0,9,WILLIAM,STREET,,
295,0,13,WILLIAM,STREET,,
296,0,15,WILLIAM,STREET,,
297,0,16,WILLIAM,STREET,,
298,0,17,WILLIAM,STREET,,
299,0,18,WILLIAM,STREET,,
300,0,19,WILLIAM,STREET,,
301,0,20,WILLIAM,STREET,,
302,0,21,WILLIAM,STREET,,
303,0,22,WILLIAM,STREET,,
304,0,23,WILLIAM,STREET,,
305,0,24,WILLIAM,STREET,,
306,0,25,WILLIAM,STREET,,
307,0,26,WILLIAM,STREET,,
308,0,27,WILLIAM,STREET,,
309,0,28,WILLIAM,STREET,,
310,0,29,WILLIAM,STREET,,
311,0,30,WILLIAM,STREET,,
312,0,31,WILLIAM,STREET,,
313,0,32,WILLIAM,STREET,,
314,0, ,WILLIAM,STREET,UNCLEAR TEXT,
315,0,34,WILLIAM,STREET,,
316,0,37,WILLIAM,STREET,,
317,0,30,CANNON,STREET,,
318,0,28,CANNON,STREET,,
319,0,26,CANNON,STREET,,
320,0,27,CANNON,STREET,,
321,0, ,CANNON,STREET,UNCLEAR TEXT,
322,0,146,CALEDON,STREET,,
323,0,148,CALEDON,STREET,,
324,0,150,CALEDON,STREET,,
325,0,152,CALEDON,STREET,,
326,0,154,CALEDON,STREET,,
327,0,156,CALEDON,STREET,,
328,0,158,CALEDON,STREET,,
329,0,160,CALEDON,STREET,,
330,0,162,CALEDON,STREET,,
331,0,164,CALEDON,STREET,,
332,0,166,CALEDON,STREET,,
333,0,168,CALEDON,STREET,,
334,0,174,CALEDON,STREET,,
335,0,176,CALEDON,STREET,,
336,0,178,CALEDON,STREET,,
337,0,180,CALEDON,STREET,,
338,0,182,CALEDON,STREET,,
339,0,184,CALEDON,STREET,,
340,0,186,CALEDON,STREET,,
341,0,188,CALEDON,STREET,,
342,0,181,CALEDON,STREET,,
343,0,144,CALEDON,STREET,,
344,0, ,CALEDON,STREET,,
345,0,141,CALEDON,STREET,,
346,0,161,CALEDON,STREET,,
347,0,163,CALEDON,STREET,,
348,0,165,CALEDON,STREET,,
349,0,167,CALEDON,STREET,,
350,0,169,CALEDON,STREET,,
351,0,173,CALEDON,STREET,,
352,0,175,CALEDON,STREET,,
353,0,177,CALEDON,STREET,,
354,0,179,CALEDON,STREET,,
355,0, ,CLYDE,STREET,,
356,0,13,WICHT,STREET,,
357,0,15,WICHT,STREET,,
358,0,17,WICHT,SREET,,
359,0, ,STONE,,,
360,0, ,WICHT,CHURCH,,
361,0, ,PARKIN,STREET,UNCLEAR,
362,0, ,PARKIN,STREET,UNCEAR,
363,0,24,PARKIN,STREET,,
364,0,21,PARKIN,STREET,,
365,0, ,THOMAS,STREET,,
366,0, ,THOMAS,STREET,UNCLEAR,
367,0,28,WICHT,STREET,,
368,0,29,WICHT,STREET,,
369,0,30,WICHT,STREET,,
370,0,31,WICHT,STREET,,
371,0,32,WICHT,STREET,,
372,0,33,WICHT,STREET,,
373,0,34,WICHT,STREET,,
374,0,35,WICHT,STREET,,
375,0,36,WICHT,STREET,,
376,0,37,WICHT,STREET,,
377,0,38,WICHT,STREET,,
378,0,39,WICHT,STREET,,
379,0,40,WICHT,STREET,,
380,0,41,WICHT,STREET,,
381,0,10,GORE,STREET,,
382,0,12,GORE,STREET,,
383,0,14,GORE,STREET,,
384,0,16,GORE,STREET,,
385,0,18,GORE,STREET,,
386,0,20,GORE,STREET,,
387,0,32,OAK,STREET,,
388,0,34,OAK,STREET,,
389,0,36,OAK,STREET,,
390,0, ,TENNANT,,UNCLEAR,
391,0, ,TENNANT,STREET,FACTORY,
392,0, ,SELKIRK,SCHOOL,,
393,0,4,SELKIRK,STREET,,
394,0,6,SELKIRK,STREET,,
395,0,8,SELKIRK,,,
396,0,10,SELKIRK,STREET,,
397,0,12,SELKIRK,STREET,,
398,0,16,MUIR,STREET,,
399,0,18,MUIR,STREET,,
400,0,20,MUIR,STREET,,
401,0,22,MUIR,STREET,,
402,0,24,MUIR,STREET,,
403,0,1,MUIR,STREET,,
404,0,3,MUIR,STREET,,
405,0,5,MUIR,STREET,,
406,0,7,MUIR,STREET,,
407,0,9,MUIR,STREET,,
408,0,11,MUIR,STREET,,
409,0,13,MUIR,STREET,,
410,0,15,MUIR,STREET,,
411,0, ,SIDNEY,SCHOOL,,
412,0,18,SIDNEY,STREET,,
413,0,20,SIDNEY,STREET,,
414,0,22,SIDNEY,STREET,,
415,0, ,SIDNEY,STREET,UNCLEAR,
416,0, ,SIDNEY,STREET,UNCLEAR,
417,0,17,CHAPEL,STREET,,
418,0,19,CHAPEL,STREET,,
419,0,21,CHAPEL,STREET,,
420,0,23,CHAPEL,STREET,,
421,0,25,CHAPEL,STREET,,
422,0,27,CHAPEL,STREET,,
423,0, ,SIDNEY,STREET,UNCLEAR,
424,0, ,SIDNEY,STREET,UNCLEAR,
425,0, ,SELKIRK,STREET,UNCLEAR,
426,0, ,SELKIRK,STREET,UNCLEAR,
427,0,67,ROGER,STREET,,
428,0,65,ROGER,STREET,,
429,0,0,ROGER,STREET,,
430,0,64,CHAPEL,STREET,,
431,0,66,CHAPEL,STREET,,
432,0,68,CHAPEL,STREET,,
433,0,70,CHAPEL,STREET,,
434,0,72,CHAPEL,STREET,,
435,0,74,CHAPEL,STREET,,
436,0,76,CHAPEL,STREET,,
