Street,ID,Match
UPPER HARRINGTON,vol16_132.tif-4,False
JOPPLAN,vol16_336.tif-1,False
DUFF,vol16_336.tif-2,False
,vol16_393.tif-ALL,False
WILLIAM,vol16_290.tif-4,True
GREY,vol16_061.tif-4,False
UPPER ASHLEY,vol16_290.tif-1,True
SMART,vol16_061.tif-2,True
UPPER ASHLEY,vol16_061.tif-1,True
WILLIAM,vol16_290.tif-2,True
,vol16_266.tif-4,False
,vol16_266.tif-2,False
LOCK,vol16_266.tif-3,False
ROELAND,vol16_266.tif-1,True
PEDERSEN,vol16_348.tif-4,True
DE WAAL,vol16_348.tif-3,False
SPRINGFIELD,vol16_348.tif-2,True
SPRINGFIELD,vol16_348.tif-1,True
UPPER ASHLEY,vol16_051.tif-2,True
HARRINGTON,vol16_051.tif-3,True
VAN DE LEUR,vol16_051.tif-1,True
GYMPIE,vol16_051.tif-4,False
LEE,vol16_186.tif-4,True
CANTERBURY,vol16_186.tif-3,False
WILLIAM,vol16_186.tif-2,True
ROGER,vol16_186.tif-1,True
,vol16_120.tif-4,False
UPPER WARWICK,vol16_120.tif-3,False
,vol16_120.tif-2,False
GRAND VIEW,vol16_120.tif-1,False
LEE,vol16_138.tif-1,True
PINE,vol16_138.tif-2,False
CONSTITUTION,vol16_138.tif-3,True
CONSTITUTION,vol16_138.tif-4,True
CANNON,vol16_153.tif-1,True
PARKIN,vol16_153.tif-3,True
JAMISSON,vol16_153.tif-2,False
DUKE,vol16_153.tif-4,False
VAN DE LEUR,vol16_294.tif-1,True
CONSTITUTION,vol16_294.tif-3,True
VAN DE LEUR,vol16_294.tif-2,True
SIDNEY,vol16_294.tif-4,True
CONSTITUTION,vol16_006.tif-2,True
WILLIAM,vol16_006.tif-3,True
HANOVER,vol16_006.tif-1,True
GRAY,vol16_006.tif-4,True
ARMSKIRK,vol16_378.tif-1,False
SIR LOWRY,vol16_285.tif-4,True
LONGMARKET,vol16_285.tif-3,True
DUKE,vol16_285.tif-2,False
MCKENZIE,vol16_285.tif-1,True
WILLIAM,vol16_111.tif-4,True
STONE,vol16_111.tif-3,True
DOVER,vol16_111.tif-2,True
HARRINGTON,vol16_111.tif-1,True
ROELAND,vol16_223.tif-3,True
MOUNT,vol16_223.tif-2,True
LONGMARKET,vol16_223.tif-1,True
BASKET,vol16_223.tif-4,True
MAWSEU,vol16_034.tif-1,False
MARSDEN,vol16_034.tif-3,True
,vol16_034.tif-2,False
STUCKER'S,vol16_034.tif-4,False
CHAPEL,vol16_244.tif-3,True
RIEBACK,vol16_131.tif-4,False
KLAPPERBOS,vol16_097.tif-2,False
SMART,vol16_097.tif-3,True
CANNON,vol16_131.tif-1,True
STONE,vol16_131.tif-3,True
