Row,File,Number,Name,Type,Other,City,Updated,Match,D6?,
143,vol16_036.tif-3,10,COFFEE,LANE,,CAPE TOWN,,,
144,vol16_036.tif-4,90,CANTURBURY,STREET,,CAPE TOWN,True,True,
145,vol16_037.tif-1,36,HARRINGTON,STREET,,CAPE TOWN,,True,
146,vol16_037.tif-2,23,CANTURBURY,STREET,,CAPE TOWN,True,True,
147,vol16_037.tif-3,183,CALEDON,STREET,,CAPE TOWN,,True,
148,vol16_037.tif-4,13,ST VINCENT,STREET,,CAPE TOWN,True,True,
149,vol16_038.tif-1,8,COFFEE,LANE,,CAPE TOWN,,,
150,vol16_038.tif-2,61,CONSTITUTION,STREET,,CAPE TOWN,,True,
151,vol16_038.tif-3,64,ASPELING,,CANTERBURY FLATS,,True,True,
152,vol16_038.tif-4,,TEMATON ROAD,,,ATHLONE,,,N
153,vol16_039.tif-1,4,PROSPECT,AVENUE,,CAPE TOWN,,True,
154,vol16_039.tif-2,35,ROGER,STREET,,CAPE TOWN,,True,
155,vol16_039.tif-3,35,ROGER,STREET,,CAPE TOWN,,True,
156,vol16_039.tif-4,23,JOHNS,COURT,,MOWBRAY,,,N
157,vol16_040.tif-1,93,ASPELING,,BLOEMHOF FLATS,CAPE TOWN,True,True,
158,vol16_040.tif-2,56,DE VILLIERS,STREET,,CAPE TOWN,True,True,
159,vol16_040.tif-3,,WORCESTER,ROAD,"""HEADLEY""",CAPE TOWN,,True,
160,vol16_040.tif-4,6,LESAR,STREET,,CAPE TOWN,True,True,
161,vol16_041.tif-1,,ASPELING,,,,True,True,
162,vol16_041.tif-2,5A,OAK,STREET,,CAPE TOWN,,True,
163,vol16_041.tif-3,5,VICTORIA,ROAD,,WOODSTOCK,,,N
164,vol16_041.tif-4,48,DE VILLIERS,STREET,,CAPE TOWN,True,True,
165,vol16_042.tif-1,71,SIR LOWRY,ROAD,,CAPE TOWN,True,True,
166,vol16_042.tif-2,2,MUIR,STREET,,CAPE TOWN,,True,
167,vol16_042.tif-3,4,WORCESTER,ROAD,CHINA VILLA,CAPE TOWN,,True,
168,vol16_042.tif-4,69,WILLIAM,STREET,,CAPE TOWN,,True,
169,vol16_043.tif-1,12,VREDENDAL,ROAD,GLEEMOR,ATHLONE,,,N
170,vol16_043.tif-2,3A,PRINCESS,STREET,WALMER ESTATE,CAPE TOWN,,True,N
171,vol16_043.tif-3,48,LONGMARKET,STREET,,CAPE TOWN,,True,
172,vol16_043.tif-4,,HAMILTON,ROAD,"""HOPEWELL""",CLAREMONT,,,N
173,vol16_044.tif-1,17,GODFREY,STREET,,CAPE TOWN,,True,
174,vol16_044.tif-2,284,HANOVER,STREET,,CAPE TOWN,,True,
175,vol16_044.tif-3,284,HANOVER,STREET,,CAPE TOWN,,True,
176,vol16_044.tif-4,23,PARKIN,STREET,,CAPE TOWN,True,True,
177,vol16_045.tif-1,23,PARKIN,STREET,,CAPE TOWN,True,True,
178,vol16_045.tif-2,62,WILLIAM,STREET,,CAPE TOWN,,True,
179,vol16_045.tif-3,24,WILLIAM,STREET,,CAPE TOWN,,True,
180,vol16_045.tif-4,134,ASPELING,STREET,,CAPE TOWN,,True,
181,vol16_046.tif-1,269,ASPELING,,BLOEMHOF FLATS,CAPE TOWN,True,True,
182,vol16_046.tif-2,16,WINDSOR,STREET,,CAPE TOWN,,True,
183,vol16_046.tif-3,12,AMSTERDAM,STREET,,CAPE TOWN,,,
184,vol16_046.tif-4,2,HIGH,STREET,,CAPE TOWN,,True,
